Date,Time,Pointer,Enviro Temp,Bean Temp,Enviro SP,Ramp Rate,CoolingFan,BeanDrop,Power,Drum,Stirflex,Roast Fan,IdleTemp,DrumReference,StirflexReference,RoasterReference,Drum,LoLimitPower,HiLimitPower,HeatPower
2016/04/29,8:52:30,4,788,793,200.0 F,0,Off,Off,14.00 %,0 RPM,0 RPM,0 RPM,200.0 F,0 Hz,0 Hz,0 Hz,0 RPM,1450.00%,5000.00%,1450.00%
2016/04/29,8:52:35,4,787,793,200.0 F,0,Off,Off,14.00 %,0 RPM,0 RPM,0 RPM,200.0 F,0 Hz,0 Hz,0 Hz,0 RPM,1450.00%,5000.00%,1450.00%
2016/04/29,8:52:40,4,787,793,0.0 F,0,Off,Off,16.50 %,491 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,0 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:52:45,4,788,794,0.0 F,0,Off,Off,16.50 %,1198 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:52:50,4,788,794,0.0 F,0,Off,Off,16.50 %,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:52:55,4,789,795,0.0 F,0,Off,Off,16.50 %,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:53:00,4,789,795,0.0 F,0,Off,Off,16.50 %,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:53:05,4,790,796,0.0 F,0,Off,Off,16.50 %,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:53:10,2,790,796,0.0 F,0,Off,Off,16.50 %,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,1650.00%
2016/04/29,8:53:15,1,790,797,375.0 F,0,Off,Off,16.50 %,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:20,1,790,797,375.0 F,0,Off,Off,16.50 %,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:25,1,790,797,375.0 F,0,Off,Off,16.50 %,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:30,1,791,797,375.0 F,0,Off,Off,16.50 %,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:35,1,791,797,375.0 F,0,Off,Off,16.50 %,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:40,1,791,797,375.0 F,0,Off,Off,16.50 %,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:45,1,862,846,375.0 F,0,Off,Off,16.50 %,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:50,1,1016,966,375.0 F,0,Off,Off,16.50 %,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:53:55,1,1169,1096,375.0 F,0,Off,Off,16.50 %,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
2016/04/29,8:54:00,1,1309,1221,375.0 F,0,Off,Off,16.50 %,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,4969.00%
2016/04/29,8:54:05,1,1438,1341,375.0 F,0,Off,Off,16.50 %,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,1450.00%,5000.00%,5000.00%
