Date:2016.04.29	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		350.1	410.0		200	32
00:05		309.9	389.4		200	32
00:10		277.0	373.9		200	32
00:15		252.4	365.4		200	32
00:20		234.1	360.2		200	32
00:25		220.4	356.9		200	32
00:30		210.5	354.4		200	32
00:35		203.2	352.0		200	32
00:40		198.3	350.7		200	32
00:45		195.2	350.3		200	32
00:50		193.5	350.8		200	32
00:55		192.7	351.2		200	32
01:00		192.7	351.7		390	32
01:05		193.4	353.3		390	32
01:10		194.4	355.2		390	32
01:15		195.8	356.3		390	32
01:20		197.4	357.4		390	32
01:25		199.0	358.0		390	32
01:30		201.0	358.6		390	32
01:35		203.0	359.7		390	32
01:40		205.1	360.6		390	32
01:45		207.5	361.7		390	32
01:50		209.8	362.9		390	32
01:55		212.0	364.0		390	32
02:00		214.6	365.2		390	32
02:05		217.0	366.1		390	32
02:10		219.5	367.8		390	32
02:15		222.0	369.6		390	32
02:20		224.4	370.9		390	32
02:25		226.7	372.5		390	32
02:30		229.1	373.9		390	32
02:35		231.8	375.1		390	32
02:40		234.3	376.2		390	32
02:45		236.7	377.4		390	32
02:50		239.2	378.7		390	32
02:55		241.6	379.7		390	32
03:00		244.0	380.7		390	32
03:05		246.4	382.2		390	32
03:10		248.9	383.2		390	32
03:15		251.2	384.6		390	32
03:20		253.6	386.0		390	32
03:25		256.2	387.2		390	32
03:30		258.7	387.9		390	32
03:35		261.1	388.6		390	32
03:40		263.6	389.1		390	32
03:45		266.0	389.9		390	32
03:50		268.6	390.5		390	32
03:55		271.1	391.1		390	32
04:00		273.5	391.5		390	32
04:05		276.0	391.2		390	32
04:10		278.2	391.2		390	32
04:15		280.6	391.7		390	32
04:20		282.9	391.9		390	32
04:25		284.9	392.2		390	32
04:30		286.9	392.4		390	32
04:35		288.8	392.3		390	32
04:40		290.7	392.3		390	32
04:45		292.5	392.5		390	32
04:50		294.4	392.3		390	32
04:55		296.1	392.1		428	32
05:00		297.7	391.1		428	32
05:05		299.3	390.7		428	32
05:10		300.9	391.2		428	32
05:15		302.5	392.3		428	32
05:20		304.2	394.1		428	32
05:25		305.9	396.2		428	32
05:30		307.6	398.3		428	32
05:35		309.4	400.0		428	32
05:40		311.2	401.5		428	32
05:45		313.0	403.3		428	32
05:50		314.6	405.1		428	32
05:55		316.4	406.8		428	32
06:00		318.1	408.6		428	32
06:05		319.9	410.2		428	32
06:10		321.6	411.1		428	32
06:15		323.3	412.6		428	32
06:20		324.8	414.1		428	32
06:25		326.6	415.7		428	32
06:30		328.5	417.7		428	32
06:35		330.3	419.2		428	32
06:40		332.1	420.4		428	32
06:45		333.7	421.3		428	32
06:50		335.4	422.3		428	32
06:55		337.2	423.5		428	32
07:00		338.9	424.7		428	32
07:05		340.7	426.0		440	32
07:10		342.4	428.1		440	32
07:15		343.9	430.2		440	32
07:20		345.7	431.9		440	32
07:25		347.3	433.6		440	32
07:30		349.0	435.0		440	32
07:35		350.8	436.2		440	32
07:40		352.5	437.4		440	32
07:45		354.3	438.7		440	32
07:50		356.1	440.0		440	32
07:55		358.0	441.1		440	32
08:00		359.8	441.8		440	32
08:05		361.6	442.5		440	32
08:10		363.4	442.7		440	32
08:15		365.2	443.0		440	32
08:20		366.9	443.2		440	32
08:25		368.7	443.1		440	32
08:30		370.4	443.1		440	32
08:35		372.0	443.1		440	32
08:40		373.7	443.2		440	32
08:45		375.2	443.1		440	32
08:50		376.9	442.8		440	32
08:55		378.4	442.6		440	32
09:00		380.1	442.4		440	32
09:05		381.6	442.0		440	32
09:10		383.2	441.8		440	32
09:15		384.7	441.5		440	32
09:20		386.2	441.2		440	32
09:25		387.7	440.9		440	32
09:30		389.1	440.8		440	32
09:35		390.4	440.8		440	32
09:40		392.1	440.8		440	32
09:45		393.5	440.4		440	32
09:50		394.9	440.2		440	32
09:55		396.4	439.8		440	32
10:00		397.6	439.3		440	32
10:05		398.8	439.1		440	32
10:10		400.1	439.0		440	32
10:15		401.2	438.8		200	14
10:20		402.0	436.3		200	14
