Date,Time,Pointer,Enviro Temp,Bean Temp,Enviro SP,Ramp Rate,CoolingFan,BeanDrop,Power,Drum,Stirflex,Roast Fan,IdleTemp,DrumReference,StirflexReference,RoasterReference,Drum,LoLimitPower,HiLimitPower,HeatPower
2016/04/29,8:52:30,4,78.8,79.3,200.0 F,0,Off,Off,14.00%,0 RPM,0 RPM,0 RPM,200.0 F,0 Hz,0 Hz,0 Hz,0 RPM,14.50%,50.00%,14.50%
2016/04/29,8:52:35,4,78.7,79.3,200.0 F,0,Off,Off,14.00%,0 RPM,0 RPM,0 RPM,200.0 F,0 Hz,0 Hz,0 Hz,0 RPM,14.50%,50.00%,14.50%
2016/04/29,8:52:40,4,78.7,79.3,0.0 F,0,Off,Off,16.50%,491 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,0 RPM,14.50%,50.00%,16.50%
2016/04/29,8:52:45,4,78.8,79.4,0.0 F,0,Off,Off,16.50%,1198 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,16.50%
2016/04/29,8:52:50,4,78.8,79.4,0.0 F,0,Off,Off,16.50%,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,16.50%
2016/04/29,8:52:55,4,78.9,79.5,0.0 F,0,Off,Off,16.50%,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,16.50%
2016/04/29,8:53:00,4,78.9,79.5,0.0 F,0,Off,Off,16.50%,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,16.50%
2016/04/29,8:53:05,4,79,79.6,0.0 F,0,Off,Off,16.50%,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,16.50%
2016/04/29,8:53:10,2,79,79.6,0.0 F,0,Off,Off,16.50%,1783 RPM,0 RPM,304 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,16.50%
2016/04/29,8:53:15,1,79,79.7,375.0 F,0,Off,Off,16.50%,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:20,1,79,79.7,375.0 F,0,Off,Off,16.50%,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:25,1,79,79.7,375.0 F,0,Off,Off,16.50%,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:30,1,79.1,79.7,375.0 F,0,Off,Off,16.50%,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:35,1,79.1,79.7,375.0 F,0,Off,Off,16.50%,1712 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:40,1,79.1,79.7,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:45,1,86.2,84.6,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:50,1,101.6,96.6,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:53:55,1,116.9,109.6,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:54:00,1,130.9,122.1,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,49.69%
2016/04/29,8:54:05,1,143.8,134.1,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
2016/04/29,8:54:10,1,155.5,146.2,375.0 F,0,Off,Off,16.50%,1713 RPM,0 RPM,320 RPM,200.0 F,0 Hz,0 Hz,0 Hz,1 RPM,14.50%,50.00%,50.00%
