Date:17.02.2015	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		355.1	398.0		400.0	50.0	
00:05		322.9	384.8		400.0	50.0	
00:10		290.9	371.2		400.0	50.0	
00:15		265.3	365.3		400.0	50.0	
00:20		246.1	362.8		400.0	50.0	
00:25		231.2	361.3		400.0	50.0	
00:30		220.0	360.5		400.0	50.0	
00:35		212.2	360.4		400.0	50.0	
00:40		206.2	360.7		400.0	50.0	
00:45		202.3	361.6		400.0	50.0	
00:50		199.7	362.5		400.0	50.0	
00:55		198.3	364.1		350.0	50.0	
01:00		197.5	365.2		350.0	50.0	
01:05		197.7	366.1		350.0	50.0	
01:10		198.3	367.2		350.0	50.0	
01:15		199.7	366.8		350.0	50.0	
01:20		201.4	366.5		350.0	50.0	
01:25		203.5	366.5		350.0	50.0	
01:30		205.9	367.0		350.0	50.0	
01:35		208.5	368.3		350.0	50.0	
01:40		211.3	369.2		350.0	50.0	
01:45		214.3	370.6		350.0	50.0	
01:50		217.2	372.1		350.0	50.0	
01:55		220.3	373.2		350.0	50.0	
02:00		223.5	374.8		350.0	50.0	
02:05		226.7	376.3		350.0	50.0	
02:10		230.0	378.2		350.0	50.0	
02:15		233.3	379.8		350.0	35.0	
02:20		236.5	381.4		350.0	35.0	
02:25		239.7	382.8		350.0	35.0	
02:30		242.9	384.4		350.0	35.0	
02:35		246.1	386.3		350.0	35.0	
02:40		249.1	388.0		350.0	35.0	
02:45		252.3	389.7		350.0	35.0	
02:50		255.3	391.3		350.0	35.0	
02:55		258.2	392.9		375.0	50.0	
03:00		261.2	394.5		375.0	50.0	
03:05		264.2	396.1		375.0	50.0	
03:10		267.3	397.7		375.0	50.0	
03:15		270.1	399.4		375.0	50.0	
03:20		273.0	401.2		375.0	50.0	
03:25		275.8	402.4		375.0	50.0	
03:30		278.3	403.6		375.0	50.0	
03:35		280.9	403.9		375.0	50.0	
03:40		283.5	404.0		375.0	50.0	
03:45		286.0	403.8		375.0	50.0	
03:50		288.5	403.1		375.0	50.0	
03:55		290.8	402.4		375.0	50.0	
04:00		293.0	402.0		375.0	50.0	
04:05		295.0	401.8		375.0	50.0	
04:10		297.1	401.2		375.0	50.0	
04:15		299.2	403.1		375.0	50.0	
04:20		301.3	406.4		375.0	50.0	
04:25		303.6	409.0		375.0	50.0	
04:30		305.8	410.8		375.0	50.0	
04:35		307.8	412.0		375.0	50.0	
04:40		309.9	412.9		375.0	50.0	
04:45		312.0	413.0		375.0	25.0	
04:50		313.9	413.0		375.0	25.0	
04:55		315.7	412.9		375.0	25.0	
05:00		317.7	412.0		375.0	25.0	
05:05		319.4	411.2		375.0	25.0	
05:10		321.1	411.0		375.0	25.0	
05:15		322.6	410.4		375.0	25.0	
05:20		324.2	410.3		375.0	25.0	
05:25		325.7	410.5		375.0	25.0	
05:30		327.4	410.5		375.0	25.0	
05:35		328.8	410.2		385.0	50.0	
05:40		330.4	410.1		385.0	50.0	
05:45		331.9	409.0		385.0	50.0	
05:50		333.4	408.0		385.0	50.0	
05:55		334.8	409.1		385.0	50.0	
06:00		336.2	411.1		385.0	50.0	
06:05		337.5	412.7		385.0	50.0	
06:10		339.0	414.6		385.0	50.0	
06:15		340.4	415.9		385.0	50.0	
06:20		341.8	416.5		385.0	50.0	
06:25		343.2	416.9		385.0	50.0	
06:30		344.5	416.8		385.0	50.0	
06:35		345.9	417.1		385.0	50.0	
06:40		347.3	417.5		385.0	50.0	
06:45		348.8	418.4		385.0	50.0	
06:50		350.2	419.4		385.0	50.0	
06:55		351.6	421.0		385.0	50.0	
07:00		352.9	421.5		385.0	50.0	
07:05		354.4	421.8		385.0	50.0	
07:10		355.7	422.2		385.0	50.0	
07:15		357.1	422.8		385.0	50.0	
07:20		358.7	423.7		385.0	50.0	
07:25		360.2	424.6		385.0	50.0	
07:30		361.7	425.3		385.0	50.0	
07:35		363.3	425.7		385.0	50.0	
