Date:17.02.2015	Unit:F	CHARGE:01:00	TP:01:00	DRYe:02:00	FCs:04:00	FCe:04:30	SCs:	SCe:	DROP:06:00	COOL:	Time:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		355.1	398.0	SCs	-1	-1
00:05		322.9	384.8		-1	-1
00:10		290.9	371.2		-1	-1
00:15		265.3	365.3		-1	-1
00:20		246.1	362.8		-1	-1
00:25		231.2	361.3		-1	-1
00:30		220.0	360.5		-1	-1
00:35		212.2	360.4		-1	-1
00:40		206.2	360.7		-1	-1
00:45		202.3	361.6		-1	-1
00:50		199.7	362.5		-1	-1
00:55		198.3	364.1		-1	-1
01:00	00:00	197.5	365.2	Charge	-1	-1
01:05	00:05	197.7	366.1		-1	-1
01:10	00:10	198.3	367.2		-1	-1
01:15	00:15	199.7	366.8		-1	-1
01:20	00:20	201.4	366.5		-1	-1
01:25	00:25	203.5	366.5		-1	-1
01:30	00:30	205.9	367.0		-1	-1
01:35	00:35	208.5	368.3		-1	-1
01:40	00:40	211.3	369.2		-1	-1
01:45	00:45	214.3	370.6		-1	-1
01:50	00:50	217.2	372.1		-1	-1
01:55	00:55	220.3	373.2		-1	-1
02:00	01:00	223.5	374.8	Dry End	-1	-1
02:05	01:05	226.7	376.3		-1	-1
02:10	01:10	230.0	378.2		-1	-1
02:15	01:15	233.3	379.8		-1	-1
02:20	01:20	236.5	381.4		-1	-1
02:25	01:25	239.7	382.8		-1	-1
02:30	01:30	242.9	384.4		-1	-1
02:35	01:35	246.1	386.3		-1	-1
02:40	01:40	249.1	388.0		-1	-1
02:45	01:45	252.3	389.7		-1	-1
02:50	01:50	255.3	391.3		-1	-1
02:55	01:55	258.2	392.9		-1	-1
03:00	02:00	261.2	394.5		-1	-1
03:05	02:05	264.2	396.1		-1	-1
03:10	02:10	267.3	397.7		-1	-1
03:15	02:15	270.1	399.4		-1	-1
03:20	02:20	273.0	401.2		-1	-1
03:25	02:25	275.8	402.4		-1	-1
03:30	02:30	278.3	403.6		-1	-1
03:35	02:35	280.9	403.9		-1	-1
03:40	02:40	283.5	404.0		-1	-1
03:45	02:45	286.0	403.8		-1	-1
03:50	02:50	288.5	403.1		-1	-1
03:55	02:55	290.8	402.4		-1	-1
04:00	03:00	293.0	402.0	FCs	-1	-1
04:05	03:05	295.0	401.8		-1	-1
04:10	03:10	297.1	401.2		-1	-1
04:15	03:15	299.2	403.1		-1	-1
04:20	03:20	301.3	406.4		-1	-1
04:25	03:25	303.6	409.0		-1	-1
04:30	03:30	305.8	410.8	FCe	-1	-1
04:35	03:35	307.8	412.0		-1	-1
04:40	03:40	309.9	412.9		-1	-1
04:45	03:45	312.0	413.0		-1	-1
04:50	03:50	313.9	413.0		-1	-1
04:55	03:55	315.7	412.9		-1	-1
05:00	04:00	317.7	412.0		-1	-1
05:05	04:05	319.4	411.2		-1	-1
05:10	04:10	321.1	411.0		-1	-1
05:15	04:15	322.6	410.4		-1	-1
05:20	04:20	324.2	410.3		-1	-1
05:25	04:25	325.7	410.5		-1	-1
05:30	04:30	327.4	410.5		-1	-1
05:35	04:35	328.8	410.2		-1	-1
05:40	04:40	330.4	410.1		-1	-1
05:45	04:45	331.9	409.0		-1	-1
05:50	04:50	333.4	408.0		-1	-1
05:55	04:55	334.8	409.1		-1	-1
06:00	05:00	336.2	411.1	Drop	-1	-1
06:05	05:05	337.5	412.7		-1	-1
06:10	05:10	339.0	414.6		-1	-1
06:15	05:15	340.4	415.9		-1	-1
06:20	05:20	341.8	416.5		-1	-1
06:25	05:25	343.2	416.9		-1	-1
06:30	05:30	344.5	416.8		-1	-1
06:35	05:35	345.9	417.1		-1	-1
06:40	05:40	347.3	417.5		-1	-1
06:45	05:45	348.8	418.4		-1	-1
06:50	05:50	350.2	419.4		-1	-1
06:55	05:55	351.6	421.0		-1	-1
07:00	06:00	352.9	421.5		-1	-1
07:05	06:05	354.4	421.8		-1	-1
07:10	06:10	355.7	422.2		-1	-1
07:15	06:15	357.1	422.8		-1	-1
07:20	06:20	358.7	423.7		-1	-1
07:25	06:25	360.2	424.6		-1	-1
07:30	06:30	361.7	425.3		-1	-1
07:35	06:35	363.3	425.7		-1	-1
07:40	06:40	364.7	426.4		-1	-1
07:45	06:45	366.2	426.5		-1	-1
07:50	06:50	367.9	426.4		-1	-1
07:55	06:55	369.3	426.2		-1	-1
08:00	07:00	370.7	425.5		-1	-1
08:05	07:05	372.4	423.2		-1	-1
08:10	07:10	374.0	421.8		-1	-1
08:15	07:15	375.5	422.3		-1	-1
08:20	07:20	376.9	423.7		-1	-1
08:25	07:25	378.5	425.7		-1	-1
08:30	07:30	380.1	427.5		-1	-1
08:35	07:35	381.6	429.5		-1	-1
08:40	07:40	383.0	430.0		-1	-1
08:45	07:45	384.3	430.2		-1	-1
08:50	07:50	385.5	430.4		-1	-1
08:55	07:55	386.7	431.6		-1	-1
09:00	08:00	387.9	431.4		-1	-1
09:05	08:05	389.1	431.5		-1	-1
09:10	08:10	390.3	432.3		-1	-1
09:15	08:15	391.5	433.2		-1	-1
09:20	08:20	392.9	433.7		-1	-1
09:25	08:25	394.1	434.0		-1	-1
09:30	08:30	395.4	434.8		-1	-1
09:35	08:35	396.7	435.5		-1	-1
09:40	08:40	398.1	436.4		-1	-1
09:45	08:45	399.5	437.2		-1	-1
09:50	08:50	400.8	437.7		-1	-1
09:55	08:55	402.0	437.1		-1	-1
10:00	09:00	403.3	436.3		-1	-1
10:05	09:05	404.7	436.3		-1	-1
10:10	09:10	406.0	436.4		-1	-1
10:15	09:15	407.5	436.8		-1	-1
10:20	09:20	408.9	437.2		-1	-1
10:25	09:25	410.3	437.6		-1	-1
10:30	09:30	411.9	438.0		-1	-1
10:35	09:35	413.3	437.7		-1	-1
10:40	09:40	414.7	436.8		-1	-1
10:45	09:45	415.8	435.3		-1	-1
10:50	09:50	417.0	433.9		-1	-1
10:55	09:55	418.2	433.8		-1	-1
11:00	10:00	419.4	434.4		-1	-1
11:05	10:05	420.7	434.8		-1	-1
11:10	10:10	421.9	435.4		-1	-1
11:15	10:15	423.1	435.4		-1	-1
11:20	10:20	424.1	434.3		-1	-1
11:25	10:25	425.1	434.1		-1	-1
11:30	10:30	426.3	430.0		-1	-1
11:35	10:35	421.8	420.8		-1	-1
11:40	10:40	414.5	416.5		-1	-1
11:45	10:45	407.0	417.2		-1	-1
