Date,Time,Enviro Temp,Bean Temp,Enviro SP,Ramp Rate,CoolingFan,BeanDrop
13-02-2014,13:18:45,76.4,76.3,200.0 F,0,Off,Off
13-02-2014,13:18:50,76.3,76.2,  0.0 F,0,Off,Off
13-02-2014,13:18:55,76.4,76.2,  0.0 F,0,Off,Off
13-02-2014,13:19:00,76.4,76.2,  0.0 F,0,Off,Off
13-02-2014,13:19:05,76.4,76.2,  0.0 F,0,Off,Off
13-02-2014,13:19:10,76.4,76.3,  0.0 F,0,Off,Off
13-02-2014,13:19:15,76.4,76.3,  0.0 F,0,Off,Off
13-02-2014,13:19:20,76.4,76.3,  0.0 F,0,Off,Off
13-02-2014,13:19:25,76.4,76.3,  0.0 F,0,Off,Off
13-02-2014,13:19:30,76.5,76.4,  0.0 F,0,Off,Off
13-02-2014,13:19:35,76.4,76.4,  0.0 F,0,Off,Off
13-02-2014,13:19:40,76.5,76.3,  0.0 F,0,Off,Off
13-02-2014,13:19:45,76.5,76.4,  0.0 F,0,Off,Off
13-02-2014,13:19:50,76.5,76.4,  0.0 F,0,Off,Off
13-02-2014,13:19:55,76.5,76.4,  0.0 F,0,Off,Off
13-02-2014,13:20:00,76.6,76.4,  0.0 F,0,Off,Off
13-02-2014,13:20:05,76.6,76.4,  0.0 F,0,Off,Off
13-02-2014,13:20:10,76.5,76.4,  0.0 F,0,Off,Off
13-02-2014,13:20:15,76.5,76.4,  0.0 F,0,Off,Off
13-02-2014,13:20:20,76.6,76.4,  0.0 F,0,Off,Off
13-02-2014,13:20:25,76.6,76.5,  0.0 F,0,Off,Off
13-02-2014,13:20:30,76.6,76.5,  0.0 F,0,Off,Off
13-02-2014,13:20:35,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:20:40,76.8,76.7,  0.0 F,0,Off,Off
13-02-2014,13:20:45,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:20:50,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:20:55,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:00,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:05,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:10,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:15,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:21:20,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:21:25,76.8,76.7,  0.0 F,0,Off,Off
13-02-2014,13:21:30,76.8,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:35,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:21:40,76.6,76.7,  0.0 F,0,Off,Off
13-02-2014,13:21:45,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:50,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:21:55,76.7,76.6,  0.0 F,0,Off,Off
13-02-2014,13:22:00,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:22:05,76.7,76.7,  0.0 F,0,Off,Off
13-02-2014,13:22:10,76.8,76.7,  0.0 F,0,Off,Off
13-02-2014,13:22:15,76.8,76.7,  0.0 F,0,Off,Off
13-02-2014,13:22:20,76.7,76.3,  0.0 F,0,Off,Off
13-02-2014,13:22:25,76.5,75.5,  0.0 F,0,Off,Off
13-02-2014,13:22:30,76.2,74.9,  0.0 F,0,Off,Off
13-02-2014,13:22:35,75.9,74.4,  0.0 F,0,Off,Off
13-02-2014,13:22:40,75.7,73.9,  0.0 F,0,Off,Off
13-02-2014,13:22:45,75.5,73.5,  0.0 F,0,Off,Off
13-02-2014,13:22:50,75.7,73.5,  0.0 F,0,Off,Off
13-02-2014,13:22:55,75.7,73.7,  0.0 F,0,Off,Off
13-02-2014,13:23:00,75.9,74,  0.0 F,0,Off,Off
13-02-2014,13:23:05,76,74.2,  0.0 F,0,Off,Off
13-02-2014,13:23:10,76.2,74.5,  0.0 F,0,Off,Off
13-02-2014,13:23:15,76.3,74.7,  0.0 F,0,Off,Off
13-02-2014,13:23:20,76.3,75,  0.0 F,0,Off,Off
13-02-2014,13:23:25,76.4,75.2,  0.0 F,0,Off,Off
13-02-2014,13:23:30,76.4,75.4,  0.0 F,0,Off,Off
