Date:2015.06.22	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		303.6	391.6		200	32
00:05		275.0	375.8		200	32
00:10		253.4	364.4		200	32
00:15		237.2	356.1		200	32
00:20		225.1	350.3		200	32
00:25		216.3	346.1		200	32
00:30		210.4	343.1		200	32
00:35		206.0	340.9		200	32
00:40		203.4	339.1		200	32
00:45		201.8	338.1		200	32
00:50		201.4	337.2		200	32
00:55		201.2	335.6		200	32
01:00		201.4	334.8		390	32
01:05		202.3	335.6		390	32
01:10		203.4	338.2		390	32
01:15		204.5	340.2		390	32
01:20		205.9	341.4		390	32
01:25		207.2	342.5		390	32
01:30		208.7	342.9		390	32
01:35		210.4	343.3		390	32
01:40		212.1	343.8		390	32
01:45		213.8	344.8		390	32
01:50		215.8	345.5		390	32
01:55		217.6	346.5		390	32
02:00		219.4	347.9		390	32
02:05		221.3	349.2		390	32
02:10		223.2	350.3		390	32
02:15		225.2	351.7		390	32
02:20		227.2	353.5		390	32
02:25		229.0	355.0		390	32
02:30		230.9	356.7		390	32
02:35		232.8	357.9		390	32
02:40		234.7	359.5		390	32
02:45		236.9	360.8		390	32
02:50		238.8	362.4		390	32
02:55		240.7	364.2		390	32
03:00		242.7	365.7		390	32
03:05		244.5	367.6		390	32
03:10		246.4	369.2		390	32
03:15		248.2	370.6		390	32
03:20		250.1	371.1		390	32
03:25		251.9	371.0		390	32
03:30		253.6	371.5		390	32
03:35		255.4	372.6		390	32
03:40		257.2	373.6		390	32
03:45		259.2	375.2		390	32
03:50		261.0	377.2		390	32
03:55		262.8	379.3		390	32
04:00		264.6	381.0		390	32
04:05		266.5	382.5		390	32
04:10		268.3	384.1		390	32
04:15		270.0	385.1		390	32
04:20		271.7	386.3		390	32
04:25		273.4	387.3		390	32
04:30		274.9	388.4		390	32
04:35		276.6	389.3		390	32
04:40		278.2	390.2		390	32
04:45		279.7	391.3		390	32
04:50		281.3	392.1		390	32
04:55		283.0	392.9		390	32
05:00		284.5	393.1		390	32
05:05		285.9	393.1		390	32
05:10		287.5	393.1		390	32
05:15		288.8	393.0		390	32
05:20		290.2	392.6		390	32
05:25		291.3	391.8		390	32
05:30		292.5	391.5		390	32
05:35		293.8	391.4		390	32
05:40		295.0	390.9		428	32
05:45		296.0	389.7		428	32
05:50		297.3	389.0		428	32
05:55		298.4	388.6		428	32
06:00		299.5	388.7		428	32
06:05		300.6	390.0		428	32
06:10		302.0	392.2		428	32
06:15		303.5	394.6		428	32
06:20		304.9	397.4		428	32
06:25		306.2	400.2		428	32
06:30		307.6	402.0		428	32
06:35		309.2	403.6		428	32
06:40		310.6	405.7		428	32
06:45		312.0	407.5		428	32
06:50		313.6	409.0		428	32
06:55		315.0	410.3		428	32
07:00		316.4	411.3		428	32
07:05		317.7	412.2		428	32
07:10		319.3	413.8		428	32
07:15		320.9	415.3		428	32
07:20		322.3	416.3		428	32
07:25		323.7	417.3		428	32
07:30		325.2	417.9		428	32
07:35		326.7	419.2		428	32
07:40		328.2	420.6		428	32
07:45		329.5	421.5		428	32
07:50		331.0	422.5		428	32
07:55		332.6	423.5		428	32
08:00		334.2	424.9		428	32
08:05		335.5	426.4		428	32
08:10		337.1	427.8		428	32
08:15		338.6	428.9		428	32
08:20		340.0	429.2		440	32
08:25		341.5	430.4		440	32
08:30		342.8	432.6		440	32
08:35		344.2	434.8		440	32
08:40		345.7	436.9		440	32
08:45		347.2	438.5		440	32
08:50		348.6	440.0		440	32
08:55		350.1	440.8		440	32
09:00		351.7	441.9		440	32
09:05		353.2	442.4		440	32
09:10		354.8	442.7		440	32
09:15		356.2	442.6		440	32
09:20		357.7	442.7		440	32
09:25		359.0	443.1		440	32
09:30		360.5	442.7		440	32
09:35		361.9	442.2		440	32
09:40		363.1	441.7		440	32
09:45		364.3	441.4		440	32
09:50		365.6	441.1		440	32
09:55		367.0	440.9		440	32
10:00		368.3	440.9		440	32
10:05		369.5	440.6		440	32
10:10		370.8	440.5		440	32
10:15		372.2	440.3		440	32
10:20		373.4	440.4		440	32
10:25		374.8	440.4		440	32
10:30		376.0	440.6		440	32
10:35		377.3	440.7		440	32
10:40		378.5	440.4		440	32
10:45		379.8	440.5		440	32
10:50		381.2	441.0		440	32
10:55		382.3	441.4		440	32
11:00		383.4	441.5		440	32
11:05		384.5	441.4		440	32
11:10		385.8	441.0		440	32
11:15		386.8	440.8		440	32
11:20		387.7	440.6		440	32
11:25		388.7	440.6		440	32
11:30		389.5	440.4		440	32
11:35		390.4	440.3		440	32
11:40		391.1	440.0		440	32
11:45		391.7	439.5		440	32
11:50		392.4	439.0		440	32
11:55		393.1	438.7		440	32
12:00		393.6	438.4		440	32
12:05		394.2	438.1		440	32
12:10		394.7	438.0		440	32
12:15		395.4	438.3		440	32
12:20		396.0	439.3		440	32
12:25		396.7	440.1		440	32
12:30		397.5	440.7		440	32
12:35		398.3	441.2		440	32
12:40		399.1	441.1		440	32
12:45		400.0	441.2		440	32
12:50		400.9	441.3		440	32
12:55		401.6	441.2		440	32
13:00		402.5	441.1		440	32
13:05		403.3	441.3		440	32
13:10		404.1	441.3		440	32
13:15		405.0	441.1		440	32
13:20		405.9	441.0		440	32
13:25		406.8	440.9		440	32
13:30		407.7	440.8		440	32
13:35		408.5	440.5		440	32
13:40		409.4	439.6		440	32
13:45		410.3	439.3		200	14
13:50		410.8	434.8		200	14
13:55		407.9	427.9		200	14
