Date:2016.08.06	Unit:F	CHARGE:00:00	TP:00:00	DRYe:00:00	FCs:00:00	FCe:00:00	SCs:00:00	SCe:00:00	DROP:00:00	COOL:00:00
Time1	Time2	BT	ET	Event	ETSP	HEAT
00:00		329.9	404.2		300	50
00:05		294.2	389.1		300	50
00:10		265.5	379.3		300	50
00:15		242.4	371.9		300	50
00:20		224.4	365.8		300	50
00:25		210.1	361.2		300	50
00:30		199.2	358.4		300	50
00:35		190.4	356.1		300	50
00:40		183.7	354.0		300	50
00:45		178.8	352.7		300	50
00:50		175.3	352.3		300	50
00:55		172.8	351.9		300	50
01:00		171.4	351.7		300	50
01:05		170.7	352.1		300	50
01:10		170.6	352.6		300	50
01:15		171.0	352.6		300	50
01:20		171.9	353.3		400	50
01:25		173.0	355.3		400	50
01:30		174.4	357.3		400	50
01:35		175.7	359.1		400	50
01:40		177.5	360.7		400	50
01:45		179.6	362.1		400	50
01:50		181.6	363.9		400	50
01:55		183.7	365.4		400	50
02:00		185.9	366.9		400	50
02:05		187.9	368.0		400	50
02:10		190.1	369.5		400	50
02:15		192.2	370.6		400	50
02:20		194.5	371.5		400	50
02:25		196.9	373.3		400	50
02:30		199.0	375.0		400	50
02:35		201.4	376.6		400	50
02:40		203.6	378.6		400	50
02:45		205.9	380.6		400	50
02:50		208.1	382.0		400	50
02:55		210.4	383.0		400	50
03:00		212.6	384.2		400	50
03:05		214.9	385.2		400	50
03:10		217.2	386.6		400	50
03:15		219.3	388.4		400	50
03:20		221.4	389.4		400	50
03:25		223.4	390.7		400	50
03:30		225.7	392.2		400	50
03:35		227.7	394.1		400	50
03:40		229.9	395.6		400	50
03:45		232.0	396.6		400	50
03:50		234.1	397.6		400	50
03:55		236.2	398.5		400	50
04:00		238.2	399.4		400	50
04:05		240.2	400.3		400	50
04:10		242.4	401.3		400	50
04:15		244.4	402.1		400	50
04:20		246.4	402.0		400	50
04:25		248.2	401.7		400	50
04:30		250.1	401.5		400	50
04:35		252.0	401.3		400	50
04:40		253.9	401.4		400	50
04:45		255.8	401.4		400	50
04:50		257.7	401.2		400	50
04:55		259.6	400.8		400	50
05:00		261.5	400.7		400	50
05:05		263.3	400.7		400	50
05:10		265.0	400.9		400	50
05:15		266.8	400.9		400	50
05:20		268.5	401.0		400	50
05:25		270.1	401.1		400	50
05:30		271.9	401.0		400	50
05:35		273.5	400.7		400	50
05:40		275.2	400.4		400	50
05:45		276.9	400.2		400	50
05:50		278.6	400.2		400	50
05:55		279.9	400.4		400	50
06:00		281.5	401.0		400	50
06:05		283.2	401.0		400	50
06:10		284.6	400.6		400	50
