Date,Time,Pointer,Enviro Temp,Bean Temp,Enviro SP,Ramp Rate,CoolingFan,BeanDrop,Power,Drum,Stirflex,Roast Fan,IdleTemp,DrumReference,StirflexReference,RoasterReference,Drum,LoLimitPower,HiLimitPower,HeatPower
2014/02/15,11:12:20,00001,071.8,  71.8,150.0 F,  0.0,Off,Off, 14.00 %,    0 RPM,    0 RPM,    0 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  0 RPM, 14.50%, 50.00%, 14.50%
2014/02/15,11:12:25,00001,071.8,  71.8,  0.0 F,  0.0,Off,Off, 16.50 %,   76 RPM,    0 RPM,   83 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  0 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:12:30,00001,071.8,  71.9,  0.0 F,  0.0,Off,Off, 16.50 %,  788 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  0 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:12:35,00001,071.9,  72.0,  0.0 F,  0.0,Off,Off, 16.50 %, 1515 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:12:40,00001,072.0,  72.1,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:12:45,00001,072.1,  72.3,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:12:50,00001,072.1,  72.3,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:12:55,00001,072.3,  72.5,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:00,00001,072.3,  72.5,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:05,00001,072.4,  72.5,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:10,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:15,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:20,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1782 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:25,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1783 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:30,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1783 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:35,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1783 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:40,00001,072.6,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1783 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
2014/02/15,11:13:45,00001,072.5,  72.7,  0.0 F,  0.0,Off,Off, 16.50 %, 1783 RPM,    0 RPM,  304 RPM, 150.0 F, 0 Hz, 0 Hz, 0 Hz,  1 RPM, 14.50%, 50.00%, 16.50%
